title,genre,director,cast
Pulp Fiction,"Crime, Drama",Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis"
The Peanut Butter Falcon,"Adventure, Comedy, Drama",Tyler Nilson,"Michael Schwartz, Zack Gottsagen, Ann Pierce, Dakota Johnson, Bruce Dern"
Inception,"Action, Adventure, Sci-Fi",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe"
The Dark Knight,"Action, Crime, Drama",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
Migration,"Animation, Adventure, Comedy",Benjamin Renner,"Guylo Homsy, Kumail Nanjiani, Tresi Gazal, Elizabeth Banks, Caspar Jennings"
Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy",Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris"
Alien: Romulus,"Horror, Sci-Fi",Fede Alvarez,"Isabela Merced, Cailee Spaeny, Archie Renaux, David Jonsson"
The Talented Mr. Ripley,"Crime, Drama, Thriller",Anthony Minghella,"Matt Damon, Gwyneth Paltrow, Jude Law, Cate Blanchett"
The Black Phone,"Horror, Mystery, Thriller",Scott Derrickson,"Mason Thames, Madeleine McGraw, Ethan Hawke, Jeremy Davies"
Ghostbusters: Afterlife,"Adventure, Comedy, Fantasy",Jason Reitman,"Carrie Coon, Paul Rudd, Finn Wolfhard, Mckenna Grace"
Ghostbusters,"Action, Comedy, Fantasy",Ivan Reitman,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis"
Leave the World Behind,"Drama, Mystery, Thriller",Sam Esmail,"Julia Roberts, Mahershala Ali, Ethan Hawke, Myha'la"
Grease,"Comedy, Musical, Romance",Randal Kleiser,"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway"
The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom"
The Great Wall,"Action, Adventure, Fantasy",Yimou Zhang,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau"
The Last Stop in Yuma County,"Crime, Thriller",Francis Galluppi,"Jim Cummings, Faizon Love, Jocelin Donahue, Michael Abbott Jr."
Prom Dates,Comedy,Kim O. Nguyen,"Julia Lester, Antonia Gentry, Kenny Ridwan, JT Neal"
Something in the Water,Thriller,Hayley Easton Street,"Hiftu Quasem, Lauren Lyle, Natalie Mitson, Nicole Rieko Setsuko"
No Hard Feelings,"Comedy, Romance",Gene Stupnitsky,"Jennifer Lawrence, Andrew Barth Feldman, Laura Benanti, Matthew Broderick"
The Hunger Games: The Ballad of Songbirds & Snakes,"Action, Adventure, Drama",Francis Lawrence,"Rachel Zegler, Tom Blyth, Viola Davis, Dexter Sol Ansell"
Manjummel Boys,"Adventure, Thriller",Chidambaram,"Soubin Shahir, Sreenath Bhasi, Balu Varghese, Ganapathi"
Blended,"Comedy, Romance",Frank Coraci,"Adam Sandler, Drew Barrymore, Wendi McLendon-Covey, Kevin Nealon"
Schindler's List,"Biography, Drama, History",Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall"
The Fantastic Four,"Action, Adventure, Sci-Fi",Matt Shakman,"Ralph Ineson, Pedro Pascal, Vanessa Kirby, Joseph Quinn"
Old,"Drama, Horror, Mystery",M. Night Shyamalan,"Gael García Bernal, Vicky Krieps, Rufus Sewell, Alex Wolff"
The Mummy,"Action, Adventure, Fantasy",Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo"
The Matrix,"Action, Sci-Fi",Lana Wachowski,"Lilly Wachowski, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving"
Forrest Gump,"Drama, Romance",Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field"
Poolman,"Comedy, Mystery",Chris Pine,"Chris Pine, Jennifer Jason Leigh, Danny DeVito, Annette Bening"
One More Shot,"Action, Thriller",James Nunn,"Scott Adkins, Michael Jai White, Alexis Knapp, Tom Berenger"
Star Wars: Episode II - Attack of the Clones,"Action, Adventure, Fantasy",George Lucas,"Hayden Christensen, Natalie Portman, Ewan McGregor, Christopher Lee"
The Bikeriders,"Crime, Drama",Jeff Nichols,"Jodie Comer, Austin Butler, Tom Hardy, Michael Shannon"
Hit Man,"Action, Comedy",Richard Linklater,"Glen Powell, Adria Arjona, Retta, Austin Amelio"
Kinds of Kindness,"Comedy, Drama",Yorgos Lanthimos,"Emma Stone, Jesse Plemons, Willem Dafoe, Margaret Qualley"
The Wolf of Wall Street,"Biography, Comedy, Crime",Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey"
Starship Troopers,"Action, Adventure, Sci-Fi",Paul Verhoeven,"Casper Van Dien, Denise Richards, Dina Meyer, Jake Busey"
Sleeping Dogs,"Crime, Mystery, Thriller",Adam Cooper,"Russell Crowe, Karen Gillan, Marton Csokas, Tommy Flanagan"
Bottoms,Comedy,Emma Seligman,"Rachel Sennott, Ayo Edebiri, Ruby Cruz, Havana Rose Liu"
Inside Out 2,"Animation, Adventure, Comedy",Kelsey Mann,"Amy Poehler, Phyllis Smith, Lewis Black, Tony Hale"
Troy,"Adventure, Drama",Wolfgang Petersen,"Brad Pitt, Eric Bana, Orlando Bloom, Julian Glover"
The Batman,"Action, Crime, Drama",Matt Reeves,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell"
Borderlands,"Action, Adventure, Comedy",Eli Roth,"Haley Bennett, Gina Gershon, Cate Blanchett, Ariana Greenblatt"
Blade Runner 2049,"Action, Drama, Mystery",Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista"
Talk to Me,"Horror, Thriller",Danny Philippou,"Michael Philippou, Ari McCarthy, Hamish Phillips, Kit Erhart-Bruce, Sarah Brokensha"
Dune,"Action, Adventure, Sci-Fi",David Lynch,"Kyle MacLachlan, Virginia Madsen, Francesca Annis, Leonardo Cimino"
Road House,"Action, Thriller",Rowdy Herrington,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara"
Deadpool,"Action, Comedy",Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein"
The Hunger Games,"Action, Adventure, Sci-Fi",Gary Ross,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Stanley Tucci"
Dream Scenario,"Comedy, Drama, Fantasy",Kristoffer Borgli,"Lily Bird, Nicolas Cage, Julianne Nicholson, Jessica Clement"
Alien,"Horror, Sci-Fi",Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright"
American Fiction,"Comedy, Drama",Cord Jefferson,"Jeffrey Wright, Tracee Ellis Ross, John Ortiz, Erika Alexander"
Humane,"Horror, Thriller",Caitlin Cronenberg,"Jay Baruchel, Emily Hampshire, Peter Gallagher, Enrico Colantoni"
Mad Max,"Action, Adventure, Sci-Fi",George Miller,"Mel Gibson, Joanne Samuel, Hugh Keays-Byrne, Steve Bisley"
Gladiator 2,"Action, Adventure, Drama",Ridley Scott,"Denzel Washington, Pedro Pascal, Connie Nielsen, Joseph Quinn"
12th Fail,"Biography, Drama",Vidhu Vinod Chopra,"Vikrant Massey, Medha Shankr, Anant Joshi, Anshuman Pushkar"
The 40 Year Old Virgin,"Comedy, Romance",Judd Apatow,"Steve Carell, Catherine Keener, Paul Rudd, Romany Malco"
Kingdom of Heaven,"Action, Adventure, Drama",Ridley Scott,"Orlando Bloom, Eva Green, Liam Neeson, Martin Hancock"
Fight Club,Drama,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier"
It Ends with Us,"Drama, Romance",Justin Baldoni,"Blake Lively, Justin Baldoni, Jenny Slate, Hasan Minhaj"
The Green Mile,"Crime, Drama, Fantasy",Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt"
The Crow,"Action, Crime, Drama",Alex Proyas,"Brandon Lee, Michael Wincott, Rochelle Davis, Ernie Hudson"
Eileen,"Drama, Mystery, Thriller",William Oldroyd,"Thomasin McKenzie, Shea Whigham, Sam Nivola, Siobhan Fallon Hogan"
Mean Girls,"Comedy, Musical",Samantha Jayne,"Arturo Perez Jr., Angourie Rice, Reneé Rapp, Auli'i Cravalho, Jaquel Spivey"
Star Wars: Episode IX - The Rise of Skywalker,"Action, Adventure, Fantasy",J.J. Abrams,"Daisy Ridley, John Boyega, Oscar Isaac, Adam Driver"
Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Thriller",Christopher McQuarrie,"Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg"
Cabrini,"Biography, Drama",Alejandro Monteverde,"Cristiana Dell'Anna, John Lithgow, David Morse, Giancarlo Giannini"
Madgaon Express,"Comedy, Drama",Kunal Kemmu,"Divyendu Sharma, Pratik Gandhi, Avinash Tiwary, Nora Fatehi"
Mission: Impossible,"Action, Adventure, Thriller",Brian De Palma,"Tom Cruise, Jon Voight, Emmanuelle Béart, Henry Czerny"
Mars Express,"Animation, Action, Mystery",Jérémie Périn,"Léa Drucker, Mathieu Amalric, Daniel Njo Lobé, Marie Bouvet"
Wicked Little Letters,"Comedy, Crime, Drama",Thea Sharrock,"Jessie Buckley, Olivia Colman, Timothy Spall, Gemma Jones"
